"AgeRange","EducationLevel","LivingSituation","RentBudget","ImportantHousingFactors","AwarenessSemesterLeasing","LikelihoodSemesterHousing","OpennessSubleasing","NeedsMetCurrentHousing","ChallengesCurrentHousing","PreferredFeaturesSemesterLeasing","ImportanceCommunityEvents"
"18-22","Undergraduate","Living with family","$500 - $1000","Amenities, Roommate preferences, Proximity to campus, Safety","Very aware","Neutral","Neutral","Barely meets my needs","Distance from campus","Price range options, Safety ratings","Very important"
"18-22","Graduate","On-campus housing","Less than $500","Amenities","Not aware","Neutral","Not open","Somewhat meets my needs","Distance from campus, Inadequate amenities, High cost, Safety concerns","Price range options, Proximity to campus filter","Somewhat important"
"18-22","Undergraduate","Off-campus apartment/house","Over $1500","Roommate preferences, Safety, Proximity to campus","Somewhat aware","Very unlikely","Definitely open","Barely meets my needs","High cost, Inadequate amenities, Distance from campus","Community events and networking opportunities, Proximity to campus filter","Very important"
"18-22","Graduate","Living with family","$500 - $1000","Amenities, Safety","Somewhat aware","Unlikely","Not open","Mostly meets my needs","Safety concerns, Inadequate amenities","Roommate matching service, Proximity to campus filter","Very important"
"23-26","Graduate","On-campus housing","$1001 - $1500","Amenities, Safety, Proximity to campus","Not aware","Unlikely","Maybe open","Barely meets my needs","Distance from campus, Inadequate amenities, Safety concerns, High cost","Price range options, Safety ratings, Roommate matching service, Community events and networking opportunities","Somewhat important"
"23-26","Undergraduate","On-campus housing","$1001 - $1500","Proximity to campus, Roommate preferences, Safety","Not aware","Likely","Neutral","Mostly meets my needs","Safety concerns, Distance from campus, High cost, Inadequate amenities","Proximity to campus filter, Community events and networking opportunities, Roommate matching service, Safety ratings, Price range options","Somewhat important"
"18-22","Undergraduate","Living with family","$1001 - $1500","Safety, Proximity to campus","Very aware","Neutral","Not open","Mostly meets my needs","Inadequate amenities, High cost, Distance from campus, Safety concerns","Roommate matching service, Community events and networking opportunities, Price range options, Safety ratings, Proximity to campus filter","Not important at all"
"23-26","Undergraduate","On-campus housing","Over $1500","Proximity to campus, Roommate preferences, Safety","Somewhat aware","Very likely","Not open","Does not meet my needs","Inadequate amenities, High cost, Distance from campus","Roommate matching service, Safety ratings, Proximity to campus filter, Price range options","Somewhat important"
"23-26","Undergraduate","On-campus housing","Less than $500","Roommate preferences, Amenities, Safety, Proximity to campus","Somewhat aware","Unlikely","Definitely open","Does not meet my needs","Inadequate amenities, Safety concerns, Distance from campus","Community events and networking opportunities, Proximity to campus filter","Not very important"
"18-22","Undergraduate","On-campus housing","Over $1500","Roommate preferences","Not aware","Very unlikely","Definitely open","Does not meet my needs","Inadequate amenities, Distance from campus","Roommate matching service, Proximity to campus filter, Safety ratings","Not important at all"
"18-22","Graduate","On-campus housing","Over $1500","Roommate preferences, Safety, Amenities, Proximity to campus","Somewhat aware","Neutral","Neutral","Mostly meets my needs","Distance from campus","Safety ratings, Community events and networking opportunities, Price range options, Roommate matching service, Proximity to campus filter","Not very important"
"18-22","Undergraduate","Off-campus apartment/house","Over $1500","Roommate preferences","Very aware","Very unlikely","Neutral","Does not meet my needs","Safety concerns, Inadequate amenities","Price range options, Safety ratings","Not very important"
"18-22","Graduate","On-campus housing","Less than $500","Amenities","Very aware","Neutral","Not open","Barely meets my needs","Inadequate amenities, High cost, Distance from campus, Safety concerns","Community events and networking opportunities, Proximity to campus filter, Roommate matching service, Price range options, Safety ratings","Somewhat important"
"18-22","Undergraduate","Off-campus apartment/house","Less than $500","Amenities","Somewhat aware","Very unlikely","Neutral","Mostly meets my needs","Distance from campus, High cost, Safety concerns, Inadequate amenities","Price range options, Community events and networking opportunities, Safety ratings, Proximity to campus filter","Very important"
"23-26","Undergraduate","Living with family","Less than $500","Amenities, Roommate preferences, Proximity to campus","Somewhat aware","Very unlikely","Maybe open","Does not meet my needs","Safety concerns, Inadequate amenities, Distance from campus","Roommate matching service, Price range options","Somewhat important"
"18-22","Undergraduate","Living with family","Over $1500","Amenities, Safety","Somewhat aware","Likely","Maybe open","Somewhat meets my needs","High cost, Safety concerns, Distance from campus, Inadequate amenities","Roommate matching service, Community events and networking opportunities, Price range options, Safety ratings","Not important at all"
"23-26","Undergraduate","On-campus housing","$500 - $1000","Safety, Amenities, Roommate preferences","Neutral","Very likely","Not open","Somewhat meets my needs","Safety concerns, High cost","Safety ratings, Price range options, Proximity to campus filter, Roommate matching service","Somewhat important"
"18-22","Graduate","Living with family","$500 - $1000","Roommate preferences, Safety","Somewhat aware","Likely","Not open","Somewhat meets my needs","Safety concerns, Inadequate amenities","Proximity to campus filter, Roommate matching service","Very important"
"23-26","Graduate","Living with family","$1001 - $1500","Safety, Amenities, Roommate preferences, Proximity to campus","Very aware","Very unlikely","Maybe open","Barely meets my needs","Safety concerns, Inadequate amenities, High cost, Distance from campus","Safety ratings, Community events and networking opportunities","Not important at all"
"18-22","Graduate","Off-campus apartment/house","Less than $500","Proximity to campus","Somewhat aware","Very unlikely","Neutral","Somewhat meets my needs","High cost, Inadequate amenities, Distance from campus","Safety ratings, Community events and networking opportunities, Roommate matching service, Proximity to campus filter, Price range options","Not important at all"
"23-26","Undergraduate","Off-campus apartment/house","Less than $500","Safety, Proximity to campus, Amenities","Neutral","Likely","Not open","Barely meets my needs","Distance from campus, High cost","Community events and networking opportunities, Safety ratings","Very important"
"23-26","Graduate","On-campus housing","$1001 - $1500","Safety, Amenities, Roommate preferences, Proximity to campus","Very aware","Unlikely","Not open","Somewhat meets my needs","High cost","Roommate matching service, Price range options, Safety ratings","Very important"
"18-22","Graduate","Off-campus apartment/house","Less than $500","Proximity to campus, Safety","Very aware","Likely","Neutral","Somewhat meets my needs","Inadequate amenities","Proximity to campus filter, Community events and networking opportunities, Safety ratings, Price range options","Not important at all"
"23-26","Undergraduate","On-campus housing","$500 - $1000","Amenities, Safety, Proximity to campus, Roommate preferences","Neutral","Unlikely","Definitely open","Does not meet my needs","High cost, Distance from campus, Inadequate amenities","Proximity to campus filter, Community events and networking opportunities","Very important"
